Sole,Bench,BrdJ,PosSpec,Agil,Dash,Devl,RawGrd,Run_Defense,Pass_Rush_Technique,Pass_Rush_Strength,Play_Diagnosis,Punishing_Hitter,Endurance,SoleZ,BenchZ,BrdJZ,PosSpecZ,AgilZ,DashZ,DevlZ,RawGrdZ,Run_DefenseZ,Pass_Rush_TechniqueZ,Pass_Rush_StrengthZ,Play_DiagnosisZ,Punishing_HitterZ,EnduranceZ,PeakCur,PeakCurZ,Ability,Draftable
20,34,107,0,764,517,37,53,45,59,48,58,44,68,-0.36697247706422,1.77897574123989,1.02863202545069,NaN,0.845921450151058,-0.209790209790212,0.37,0.66,0.45,0.59,0.48,0.58,0.44,0.68,31,0.31,2,0
27,32,79,0,765,521,52,49,31,10,43,28,29,0,0.703363914373089,1.23989218328841,-1.9406150583245,NaN,0.815709969788518,-0.489510489510492,0.52,0.61,0.31,0.10,0.43,0.28,0.29,0.00,40,0.40,2,1
31,31,111,0,767,531,36,47,38,10,17,35,42,54,1.31498470948012,0.970350404312669,1.45281018027572,NaN,0.755287009063444,-1.18881118881119,0.36,0.59,0.38,0.10,0.17,0.35,0.42,0.54,39,0.39,2,0
34,26,102,0,780,490,38,51,57,64,14,63,0,68,1.7737003058104,-0.377358490566037,0.498409331919406,NaN,0.362537764350453,1.67832167832167,0.38,0.64,0.57,0.64,0.14,0.63,0.00,0.68,18,0.18,1,0
27,24,107,0,767,532,21,37,34,0,0,0,7,53,0.703363914373089,-0.91644204851752,1.02863202545069,NaN,0.755287009063444,-1.25874125874126,0.21,0.46,0.34,0.00,0.00,0.00,0.07,0.53,8,0.08,0,0
13,28,93,0,850,505,22,23,0,20,22,1,8,6,-1.43730886850153,0.161725067385445,-0.455991516436903,NaN,-1.75226586102719,0.629370629370628,0.22,0.29,0.00,0.20,0.22,0.01,0.08,0.06,12,0.12,0,0
14,31,87,0,823,507,37,32,13,23,41,5,0,6,-1.28440366972477,0.970350404312669,-1.09225874867444,NaN,-0.936555891238672,0.489510489510485,0.37,0.40,0.13,0.23,0.41,0.05,0.00,0.06,14,0.14,0,0
21,24,104,0,850,527,35,23,0,6,0,38,35,32,-0.214067278287462,-0.91644204851752,0.71049840933192,NaN,-1.75226586102719,-0.909090909090908,0.35,0.29,0.00,0.06,0.00,0.38,0.35,0.32,9,0.09,0,0
22,24,98,0,818,507,37,29,0,43,15,0,0,0,-0.0611620795107031,-0.91644204851752,0.0742311770943799,NaN,-0.785498489425981,0.489510489510485,0.37,0.36,0.00,0.43,0.15,0.00,0.00,0.00,11,0.11,0,0
14,28,79,0,850,506,63,31,0,27,31,17,12,0,-1.28440366972477,0.161725067385445,-1.9406150583245,NaN,-1.75226586102719,0.55944055944056,0.63,0.39,0.00,0.27,0.31,0.17,0.12,0.00,14,0.14,0,0
21,25,103,0,850,507,44,27,0,5,24,34,12,31,-0.214067278287462,-0.646900269541779,0.604453870625663,NaN,-1.75226586102719,0.489510489510485,0.44,0.34,0.00,0.05,0.24,0.34,0.12,0.31,12,0.12,0,0
21,29,104,0,850,540,50,26,0,0,20,2,10,11,-0.214067278287462,0.431266846361186,0.71049840933192,NaN,-1.75226586102719,-1.81818181818182,0.50,0.33,0.00,0.00,0.20,0.02,0.10,0.11,11,0.11,0,0
13,25,108,0,769,502,28,40,41,36,7,3,7,7,-1.43730886850153,-0.646900269541779,1.13467656415695,NaN,0.694864048338367,0.83916083916084,0.28,0.50,0.41,0.36,0.07,0.03,0.07,0.07,12,0.12,0,0
20,25,98,0,783,507,61,43,19,13,18,27,0,27,-0.36697247706422,-0.646900269541779,0.0742311770943799,NaN,0.271903323262839,0.489510489510485,0.61,0.54,0.19,0.13,0.18,0.27,0.00,0.27,18,0.18,1,0
14,34,114,0,780,507,50,53,39,25,67,0,26,26,-1.28440366972477,1.77897574123989,1.77094379639449,NaN,0.362537764350453,0.489510489510485,0.50,0.66,0.39,0.25,0.67,0.00,0.26,0.26,34,0.34,2,0
26,23,105,0,847,513,25,21,0,10,8,25,0,38,0.550458715596331,-1.18598382749326,0.816542948038176,NaN,-1.66163141993958,0.0699300699300685,0.25,0.26,0.00,0.10,0.08,0.25,0.00,0.38,8,0.08,0,0
16,31,96,0,789,496,42,47,38,45,25,0,45,37,-0.978593272171254,0.970350404312669,-0.137857900318133,NaN,0.090634441087614,1.25874125874126,0.42,0.59,0.38,0.45,0.25,0.00,0.45,0.37,25,0.25,1,0
12,25,104,0,777,528,47,39,58,0,20,10,0,7,-1.59021406727829,-0.646900269541779,0.71049840933192,NaN,0.453172205438068,-0.979020979020983,0.47,0.49,0.58,0.00,0.20,0.10,0.00,0.07,25,0.25,1,0
20,25,97,0,780,503,29,39,25,42,5,34,17,27,-0.36697247706422,-0.646900269541779,-0.0318133616118767,NaN,0.362537764350453,0.769230769230765,0.29,0.49,0.25,0.42,0.05,0.34,0.17,0.27,13,0.13,0,0
